Député,Parti.politique,Région,Nombre.de.voix,Rang.dans.la.liste,Age,Profession,Bloc
Noura Amri,Mouvement Nidaa Tounes,Sousse,102604,6,0,,Mouvement Nidaa Tounes
Noureddine Ben Achour,Union Patriotique Libre,Beja,4411,1,56,Agriculteur,Allégeance à la Patrie
Noureddine Bhiri,Mouvement Ennahdha,Ben Arous,61420,1,59,Avocat,Mouvement Ennahdha
Noureddine Mrabti,Union Patriotique Libre,Siliana,3362,1,44,Non catégorisé,Union Patriotique Libre
Nozha Biaoui,Afek Tounes et l'appel des tunisiens à l'étranger,Sidi Bouzid,2793,2,0,,Aucun bloc
Olfa Jouini,Union Patriotique Libre,Tunis 1,13714,2,0,,Union Patriotique Libre
Olfa Soukri,Mouvement Nidaa Tounes,Ben Arous,84359,4,41,Enseignant universitaire,Aucun bloc
Ons Hattab,Mouvement Nidaa Tounes,Kairouan,33513,2,41,Enseignant universitaire,Mouvement Nidaa Tounes
Oussama Al Sghaier,Mouvement Ennahdha,Italie,2975,2,34,Représentant d'association,Mouvement Ennahdha
Rabha Ben Hassine,Mouvement Nidaa Tounes,Mahdia,50448,4,49,Enseignant du secondaire,Bloc Al Horra du Mouvement Machrouu Tounes
Radhia Toumi,Mouvement Ennahdha,Gabès,58152,4,35,Médecin ,Mouvement Ennahdha
Ramzi Ben Fraj,Mouvement Ennahdha,Amérique et reste de l'Europe,4336,1,49,Avocat,Mouvement Ennahdha
Riadh Jaidane,Afek Tounes et l'appel des tunisiens à l'étranger,France 2,1814,1,46,Avocat,Allégeance à la Patrie
Ridha Charfeddine,Mouvement Nidaa Tounes,Sousse,102604,1,65,Chef d'entreprise,Mouvement Nidaa Tounes
Ridha Dellai,Bloc Démocrate,Beja,7598,1,55,Enseignant du secondaire,Bloc Démocrate
Ridha Zghondi,Union Patriotique Libre,Zaghouan,3564,1,56,Avocat,Mouvement Nidaa Tounes
Rim Mahjoub,Afek Tounes et l'appel des tunisiens à l'étranger,Mahdia,10915,2,52,,Aucun bloc
Rim Thairi,Bloc Social-Démocrate,Kairouan,3125,1,37,Etudiant,Bloc Démocrate
Sabri Dekhil,Bloc Démocrate,Gabès,5289,1,50,Médecin ,Bloc Démocrate
Sabrine Goubantini,Mouvement Nidaa Tounes,Ariana,82769,4,30,Comptable,Bloc National
Safia Khalfi,Mouvement Ennahdha,Kasserine,23650,2,50,Enseignant du secondaire,Mouvement Ennahdha
Sahbi Atig,Mouvement Ennahdha,Ariana,42459,1,58,Chercheur universitaire,Mouvement Ennahdha
Sahbi Ben Fraj,Mouvement Nidaa Tounes,Tunis 2,115045,5,51,Médecin ,Bloc Al Horra du Mouvement Machrouu Tounes
Salah Bargaoui,Mouvement Nidaa Tounes,Siliana,16618,1,58,Avocat,Bloc Al Horra du Mouvement Machrouu Tounes
Salem Labiadh,Bloc Démocrate,Medenine,4686,1,54,Enseignant universitaire,Bloc Démocrate
Sameh Bouhaouel,Mouvement Nidaa Tounes,Monastir,104221,4,45,Avocat,Bloc Al Horra du Mouvement Machrouu Tounes
