,Date,url,Section,Titre,Article
10,03 Avril 2018 13:46,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318414/arp-ali-bennour-demissionne-du-bloc-d-afek-tounes,Politique,ARP : Ali Bennour démissionne du bloc d’Afek Tounes,"D’après notre correspondant à l’Assemblée des représentants du peuple, Khalil Laâmeri, le député Ali Bennour a démissionné du bloc parlementaire d’Afek Tounes. Le nombre des députés d’Afek Tounes passe à six seulement ce qui va conduire à la dissolution du bloc vu que le règlement intérieur de l’Assemblée stipule que le bloc parlementaire doit regrouper au moins sept députés.  "
11,03 Avril 2018 13:46,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318414/arp-ali-bennour-demissionne-du-bloc-d-afek-tounes,Politique,ARP : Ali Bennour démissionne du bloc d’Afek Tounes,"D’après notre correspondant à l’Assemblée des représentants du peuple, Khalil Laâmeri, le député Ali Bennour a démissionné du bloc parlementaire d’Afek Tounes. Le nombre des députés d’Afek Tounes passe à six seulement ce qui va conduire à la dissolution du bloc vu que le règlement intérieur de l’Assemblée stipule que le bloc parlementaire doit regrouper au moins sept députés.  "
12,02 Avril 2018 21:03,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318079/pacte-de-carthage-la-commission-presente-des-propositions,Politique,Pacte de Carthage: la commission présente des propositions,"La commission technique des représentants du pacte de Carthage a présenté durant sa rencontre d’aujourd’hui, lundi 2 avril 2018 un ensemble de propositions et de mécanismes capables de booster l’économie nationale.   Les propositions concernent des réformes touchant le fond des problèmes économiques. Une nouvelle réunion de la commission aura lieu mercredi et jeudi prochain pour achever l’examen des autres mesures, a indiqué Samira Chaouachi, membre de la commission représentant l’Union patriotique libre (UPL). "
13,02 Avril 2018 21:03,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318079/pacte-de-carthage-la-commission-presente-des-propositions,Politique,Pacte de Carthage: la commission présente des propositions,"La commission technique des représentants du pacte de Carthage a présenté durant sa rencontre d’aujourd’hui, lundi 2 avril 2018 un ensemble de propositions et de mécanismes capables de booster l’économie nationale.   Les propositions concernent des réformes touchant le fond des problèmes économiques. Une nouvelle réunion de la commission aura lieu mercredi et jeudi prochain pour achever l’examen des autres mesures, a indiqué Samira Chaouachi, membre de la commission représentant l’Union patriotique libre (UPL). "
14,30 Mars 2018 23:11,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/316724/un-ancien-de-l-atce-l-ancien-regime-a-fabrique-des-photos-de-s-abbou,Politique,Un ancien de l'ATCE : l'ancien régime a fabriqué des photos de S.Abbou (Vidéos),"  Un ancien fonctionnaire de l'ATCE Hmida ben Jemaa a declaré sur les ondes de Mosaique+ que l'ancien régime a fabriqué des photos et des vidéos de Samia Abbou auparavant dans le but de ternir son image. Il a indiqué qu'il tenait à témoigner à travers une publication sur Facebook survenue suite au différend qu'il y'a eu dernièrement concernant le dossier de la justice transitionnelle acompagné d'insultes et d'accusations infondées lancées par Hsan Amari à Abbou.  Dans les archives de l'ATCE, un dossier consacré à Samia Abbou a été trouvé en 2010. Il visait à accabler la députée et son mari. Il contenait des photos montées de toute pièce de Abbou entrain de danser.  Il a aussi cité que son appartenance à l'ancien régime ne l'empeche nullement de témoigner en sa faveur surtout quand il s'agit de la réputation d'une femme.  Une ancienne vidéo explicite d'un homme politique etait entre les mains de l'ancien président. Celui ci a refusé de la vehiculer."
15,30 Mars 2018 23:11,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/316724/un-ancien-de-l-atce-l-ancien-regime-a-fabrique-des-photos-de-s-abbou,Politique,Un ancien de l'ATCE : l'ancien régime a fabriqué des photos de S.Abbou (Vidéos),"  Un ancien fonctionnaire de l'ATCE Hmida ben Jemaa a declaré sur les ondes de Mosaique+ que l'ancien régime a fabriqué des photos et des vidéos de Samia Abbou auparavant dans le but de ternir son image. Il a indiqué qu'il tenait à témoigner à travers une publication sur Facebook survenue suite au différend qu'il y'a eu dernièrement concernant le dossier de la justice transitionnelle acompagné d'insultes et d'accusations infondées lancées par Hsan Amari à Abbou.  Dans les archives de l'ATCE, un dossier consacré à Samia Abbou a été trouvé en 2010. Il visait à accabler la députée et son mari. Il contenait des photos montées de toute pièce de Abbou entrain de danser.  Il a aussi cité que son appartenance à l'ancien régime ne l'empeche nullement de témoigner en sa faveur surtout quand il s'agit de la réputation d'une femme.  Une ancienne vidéo explicite d'un homme politique etait entre les mains de l'ancien président. Celui ci a refusé de la vehiculer."
16,30 Mars 2018 22:48,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/316719/afek-tounes-pour-la-mise-en-place-rapide-de-la-cour-constitutionnelle,Politique,Afek Tounes pour la mise en place rapide de la cour constitutionnelle,"Le parti Afek Tounes a appelé vendredi à la mise en place rapide de la cour constitutionnelle ""eu égard à son importance extrême dans le système juridique et constitutionnelle"", estimant que l'échec de son installation ""est un revers pour tout le processus de transition démocratique dont la responsabilité incombe à toutes les sensibilités politiques, notamment celles qui ont un plus grand poids parlementaire"".   Dans un communiqué rendu public vendredi, au terme de la réunion de son bureau politique jeudi, consacrée à la situation politique et économique dans le pays, le parti a réaffirmé son attachement à la justice transitionnelle et au parachèvement de son processus ""malgré la crise marquant le rejet de la prolongation du mandat de l'Instance Vérité et Dignité (IVD)"".   Il a estimé que le conseil de l'Instance, élu dans une conjoncture politique ""marquée par une grande division et la bipolarisation du temps de la Troïka"", a pâti d'une ""diversité politique nécessaire et d’une neutralité impérative, outre sa confrontation avec les institutions de l'Etat et son refus de se conformer aux arrêts de la justice ainsi que et les querelles intestines et les démissions à répétition qui ont altéré ses travaux"". Il a lui fait assumer la ""grande responsabilité du marasme marquant le processus de la justice transitionnelle"".   ""'Afin d'assurer le parachèvement du processus de justice transitionnelle malgré l'expiration du mandat légal de l'IVD en mai prochain, le parti s'emploie actuellement à étudier les alternatives légales possibles et présentera des propositions à ce sujet dans les prochains jours aux autres partenaires politiques"", a précisé le communiqué.   Au sujet de la crise économique, le bureau politique a rappelé que ""tous les acteurs économiques et sociaux s'accordent sur le diagnostic et les causes de la crise, mais ce qui manque est le passage aux grandes réformes économiques avec audace et responsabilité"".   Le bureau politique de Afek Tounes a estimé que ""la prolongation des négociations et des débats des semaines durant sur ces questions sans prendre de décisions risque d'exacerber la crise sur fond de spéculations sur un remaniement partiel ou global du gouvernement qui aura des répercussions négatives sur la marche de l'administration"".  "
17,30 Mars 2018 22:48,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/316719/afek-tounes-pour-la-mise-en-place-rapide-de-la-cour-constitutionnelle,Politique,Afek Tounes pour la mise en place rapide de la cour constitutionnelle,"Le parti Afek Tounes a appelé vendredi à la mise en place rapide de la cour constitutionnelle ""eu égard à son importance extrême dans le système juridique et constitutionnelle"", estimant que l'échec de son installation ""est un revers pour tout le processus de transition démocratique dont la responsabilité incombe à toutes les sensibilités politiques, notamment celles qui ont un plus grand poids parlementaire"".   Dans un communiqué rendu public vendredi, au terme de la réunion de son bureau politique jeudi, consacrée à la situation politique et économique dans le pays, le parti a réaffirmé son attachement à la justice transitionnelle et au parachèvement de son processus ""malgré la crise marquant le rejet de la prolongation du mandat de l'Instance Vérité et Dignité (IVD)"".   Il a estimé que le conseil de l'Instance, élu dans une conjoncture politique ""marquée par une grande division et la bipolarisation du temps de la Troïka"", a pâti d'une ""diversité politique nécessaire et d’une neutralité impérative, outre sa confrontation avec les institutions de l'Etat et son refus de se conformer aux arrêts de la justice ainsi que et les querelles intestines et les démissions à répétition qui ont altéré ses travaux"". Il a lui fait assumer la ""grande responsabilité du marasme marquant le processus de la justice transitionnelle"".   ""'Afin d'assurer le parachèvement du processus de justice transitionnelle malgré l'expiration du mandat légal de l'IVD en mai prochain, le parti s'emploie actuellement à étudier les alternatives légales possibles et présentera des propositions à ce sujet dans les prochains jours aux autres partenaires politiques"", a précisé le communiqué.   Au sujet de la crise économique, le bureau politique a rappelé que ""tous les acteurs économiques et sociaux s'accordent sur le diagnostic et les causes de la crise, mais ce qui manque est le passage aux grandes réformes économiques avec audace et responsabilité"".   Le bureau politique de Afek Tounes a estimé que ""la prolongation des négociations et des débats des semaines durant sur ces questions sans prendre de décisions risque d'exacerber la crise sur fond de spéculations sur un remaniement partiel ou global du gouvernement qui aura des répercussions négatives sur la marche de l'administration"".  "
18,30 Mars 2018 14:47,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/316414/faycal-khelifa-la-decision-concernant-l-ivd-est-irrevocable,Politique,Fayçal Khelifa: La décision concernant l'IVD est irrévocable,"Fayçal Khelifa, membre du bureau de l'assemblée des représentants du peuple a déclaré, ce jeudi 30 mars, que la décisions prise à l'issue du vote du non prolongement des activités de l'Instance Vérité et Dignité est irrévocable. ""Nous ne reviendrons pas sur notre décision concernant l'IVD"", a-t-il ajouté."
19,30 Mars 2018 14:47,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/316414/faycal-khelifa-la-decision-concernant-l-ivd-est-irrevocable,Politique,Fayçal Khelifa: La décision concernant l'IVD est irrévocable,"Fayçal Khelifa, membre du bureau de l'assemblée des représentants du peuple a déclaré, ce jeudi 30 mars, que la décisions prise à l'issue du vote du non prolongement des activités de l'Instance Vérité et Dignité est irrévocable. ""Nous ne reviendrons pas sur notre décision concernant l'IVD"", a-t-il ajouté."
